week;weekday;hour;mbits
3nd_week;thursday;14;68,3
3nd_week;thursday;15;25
3nd_week;thursday;16;40,4
3nd_week;thursday;17;117,5
3nd_week;thursday;18;995,4
3nd_week;thursday;19;2445,7
3nd_week;thursday;20;510
3nd_week;thursday;21;1240,5
3nd_week;thursday;22;2449,4
3nd_week;thursday;23;85,7
3nd_week;friday;0;73,6
3nd_week;friday;1;8,2
3nd_week;friday;2;28,8
3nd_week;friday;3;32,8
3nd_week;friday;4;78,3
3nd_week;friday;5;81,3
3nd_week;friday;6;91
3nd_week;friday;7;33,7
3nd_week;friday;8;2172,3
3nd_week;friday;9;319,5
3nd_week;friday;10;886,3
3nd_week;friday;11;1285,2
3nd_week;friday;12;3069,3
3nd_week;friday;13;674,3
3nd_week;friday;14;742,4
3nd_week;friday;15;997,4
3nd_week;friday;16;102,4
3nd_week;friday;17;442,1
3nd_week;friday;18;1122,2
3nd_week;friday;19;1144,4
3nd_week;friday;20;150,3
3nd_week;friday;21;1202,3
3nd_week;friday;22;1879,4
3nd_week;friday;23;154,3
3nd_week;saturday;0;32,3
3nd_week;saturday;1;117,1
3nd_week;saturday;2;53,6
3nd_week;saturday;3;21,3
3nd_week;saturday;4;26,5
3nd_week;saturday;5;1,2
3nd_week;saturday;6;4,4
3nd_week;saturday;7;34,6
3nd_week;saturday;8;1038,2
3nd_week;saturday;9;1812,4
3nd_week;saturday;10;2383,6
3nd_week;saturday;11;68,4
3nd_week;saturday;12;2057,9
3nd_week;saturday;13;334,7
3nd_week;saturday;14;698,8
3nd_week;saturday;15;324,9
3nd_week;saturday;16;876,8
3nd_week;saturday;17;438,6
3nd_week;saturday;18;53,2
3nd_week;saturday;19;652,5
3nd_week;saturday;20;664,9
3nd_week;saturday;21;122,6
3nd_week;saturday;22;629,7
3nd_week;saturday;23;935,7
4nd_week;sunday;0;12,7
4nd_week;sunday;1;40,7
4nd_week;sunday;2;59,1
4nd_week;sunday;3;50,6
4nd_week;sunday;4;38,8
4nd_week;sunday;5;24,8
4nd_week;sunday;6;1,9
4nd_week;sunday;7;85
4nd_week;sunday;8;386,7
4nd_week;sunday;9;285,1
4nd_week;sunday;10;209,9
4nd_week;sunday;11;335,1
4nd_week;sunday;12;101
4nd_week;sunday;13;200,8
4nd_week;sunday;14;415,7
4nd_week;sunday;15;59,9
4nd_week;sunday;16;64,6
4nd_week;sunday;17;238,5
4nd_week;sunday;18;496,2
4nd_week;sunday;19;81,1
4nd_week;sunday;20;327,9
4nd_week;sunday;21;463
4nd_week;sunday;22;210,6
4nd_week;sunday;23;33,7
4nd_week;monday;0;3,3
4nd_week;monday;1;113,3
4nd_week;monday;2;24,5
4nd_week;monday;3;122
4nd_week;monday;4;91,7
4nd_week;monday;5;30,3
4nd_week;monday;6;32,3
4nd_week;monday;7;494,7
4nd_week;monday;8;1598,2
4nd_week;monday;9;1620,6
4nd_week;monday;10;870,4
4nd_week;monday;11;758,5
4nd_week;monday;12;1017,5
4nd_week;monday;13;1383,4
4nd_week;monday;14;1643,9
4nd_week;monday;15;256,6
4nd_week;monday;16;304,5
4nd_week;monday;17;1484,7
4nd_week;monday;18;423,1
4nd_week;monday;19;1811,9
4nd_week;monday;20;513
4nd_week;monday;21;49,2
4nd_week;monday;22;1057
4nd_week;monday;23;395,3
4nd_week;tuesday;0;42,2
4nd_week;tuesday;1;63,3
4nd_week;tuesday;2;82,5
4nd_week;tuesday;3;15,9
4nd_week;tuesday;4;27,6
4nd_week;tuesday;5;118,6
4nd_week;tuesday;6;5,8
4nd_week;tuesday;7;380
4nd_week;tuesday;8;267,6
4nd_week;tuesday;9;360,9
4nd_week;tuesday;10;503,9
4nd_week;tuesday;11;132,1
4nd_week;tuesday;12;58,7
4nd_week;tuesday;13;831,6
4nd_week;tuesday;14;2251,4
4nd_week;tuesday;15;1752,3
4nd_week;tuesday;16;735,2
4nd_week;tuesday;17;2061,7
4nd_week;tuesday;18;1077,5
4nd_week;tuesday;19;486
4nd_week;tuesday;20;1802,6
4nd_week;tuesday;21;258,9
4nd_week;tuesday;22;1763,4
4nd_week;tuesday;23;810,4
4nd_week;wednesday;0;55
4nd_week;wednesday;1;42,9
4nd_week;wednesday;2;12,2
4nd_week;wednesday;3;34,3
4nd_week;wednesday;4;3,2
4nd_week;wednesday;5;94,8
4nd_week;wednesday;6;23,3
4nd_week;wednesday;7;173
4nd_week;wednesday;8;2906
4nd_week;wednesday;9;1371
4nd_week;wednesday;10;1082,4
4nd_week;wednesday;11;682,7
4nd_week;wednesday;12;229,6
4nd_week;wednesday;13;1401,7
4nd_week;wednesday;14;2853,5
